No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
126,1,C,Acer saccharum,0.106,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,22,NA,-0.56,13.86,12.15,4,14,1,0,Dead
11,1,C,Quercus alba,0.106,Med,2017,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,15.82,31.07,5.19,20.52,19.29,33,115.5,0,0,Alive
12,1,C,Quercus rubra,0.106,Med,2017,Prunus serotina,J,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,24.45,28.19,3.36,24.74,15.01,18,63,1,0,Dead
2823,7,D,Acer saccharum,0.08,Med,2016,Prunus serotina,J,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,22.23,NA,-0.71,14.29,12.36,4,14,1,0,Dead
5679,14,A,Acer saccharum,0.06,Low,2017,Prunus serotina,689,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,21.15,NA,-0.58,10.85,11.2,4,14,1,0,Dead
18,1,C,Prunus serotina,0.106,Med,2016,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,35.29,NA,0.3,10.8,13.79,7,24.5,1,0,Dead
25,1,A,Quercus alba,0.108,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,24,20,5.11,18.82,22.51,7,24.5,0,1,Dead
40,1,A,Quercus rubra,0.108,Med,2017,Sterile,1595,Sterile,Sterilized,EMF,Sterile,5/23/18,4,0,3.43,25.22,14.81,7,24.5,0,1,Dead
26,1,A,Quercus rubra,0.108,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,28.74,36.18,3.83,26.65,14.65,33,115.5,0,0,Alive
41,1,A,Acer saccharum,0.108,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.16,NA,-0.05,13.3,12.16,7,24.5,1,0,Dead
30,1,C,Quercus rubra,0.106,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,24.45,28.19,3.36,24.74,15.01,33,115.5,0,0,Alive
33,1,C,Quercus alba,0.106,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,19.68,21.58,5.1,18.16,22.56,21,73.5,1,0,Dead
34,1,C,Quercus alba,0.106,Med,2016,Quercus alba,1478,Non-Sterile,Conspecific,EMF,EMF,5/23/18,11.14,32.75,5.05,21.93,17.75,21,73.5,1,0,Dead
37,1,A,Quercus alba,0.108,Med,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,11.45,21.84,4.79,17.83,23.72,17,59.5,1,0,Dead
42,1,A,Quercus alba,0.108,Med,2016,Sterile,1320,Sterile,Sterilized,EMF,Sterile,5/10/18,24,9.09,3.68,19.77,19.81,7,24.5,0,1,Dead
39,1,A,Quercus alba,0.108,Med,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,17.54,32.82,5.29,20.84,18.65,33,115.5,0,0,Alive
50,1,C,Quercus rubra,0.106,Med,2017,Sterile,921,Sterile,Sterilized,EMF,Sterile,5/23/18,3,0,3.5,20.44,18.99,7,24.5,0,1,Dead
68,1,C,Quercus rubra,0.106,Med,2017,Quercus rubra,984,Non-Sterile,Conspecific,EMF,EMF,6/15/18,41,13.33,3.98,20.17,21.59,7,24.5,0,1,Dead
