,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
0,1,C,Acer saccharum,0.106,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,22.0,,-0.56,13.86,12.15,4,14.0,1.0,0,Dead
1,1,C,Quercus alba,0.106,Med,2017,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,15.82,31.07,5.19,20.52,19.29,33,115.5,0.0,0,Alive
2,1,C,Quercus rubra,0.106,Med,2017,Prunus serotina,J,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,24.45,28.19,3.36,24.74,15.01,18,63.0,1.0,0,Dead
3,7,D,Acer saccharum,0.08,Med,2016,Prunus serotina,J,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,22.23,26.142500000000002,-0.71,14.29,12.36,4,14.0,1.0,0,Dead
4,14,A,Acer saccharum,0.06,Low,2017,Prunus serotina,689,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,21.15,24.095,-0.58,10.85,11.2,4,14.0,1.0,0,Dead
5,1,C,Prunus serotina,0.106,Med,2016,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,35.29,22.0475,0.3,10.8,13.79,7,24.5,1.0,0,Dead
6,1,A,Quercus alba,0.108,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,24.0,20.0,5.11,18.82,22.51,7,24.5,0.0,1,Dead
7,1,A,Quercus rubra,0.108,Med,2017,Sterile,1595,Sterile,Sterilized,EMF,Sterile,5/23/18,4.0,0.0,3.43,25.22,14.81,7,24.5,0.0,1,Dead
8,1,A,Quercus rubra,0.108,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,28.74,36.18,3.83,26.65,14.65,33,115.5,0.0,0,Alive
9,1,A,Acer saccharum,0.108,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.16,32.185,-0.05,13.3,12.16,7,24.5,1.0,0,Dead
10,1,C,Quercus rubra,0.106,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,24.45,28.19,3.36,24.74,15.01,33,115.5,0.0,0,Alive
11,1,C,Quercus alba,0.106,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,19.68,21.58,5.1,18.16,22.56,21,73.5,1.0,0,Dead
12,1,C,Quercus alba,0.106,Med,2016,Quercus alba,1478,Non-Sterile,Conspecific,EMF,EMF,5/23/18,11.14,32.75,5.05,21.93,17.75,21,73.5,1.0,0,Dead
13,1,A,Quercus alba,0.108,Med,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,11.45,21.84,4.79,17.83,23.72,17,59.5,1.0,0,Dead
14,1,A,Quercus alba,0.108,Med,2016,Sterile,1320,Sterile,Sterilized,EMF,Sterile,5/10/18,24.0,9.09,3.68,19.77,19.81,7,24.5,0.0,1,Dead
15,1,A,Quercus alba,0.108,Med,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,17.54,32.82,5.29,20.84,18.65,33,115.5,0.0,0,Alive
16,1,C,Quercus rubra,0.106,Med,2017,Sterile,921,Sterile,Sterilized,EMF,Sterile,5/23/18,3.0,0.0,3.5,20.44,18.99,7,24.5,0.0,1,Dead
17,1,C,Quercus rubra,0.106,Med,2017,Quercus rubra,984,Non-Sterile,Conspecific,EMF,EMF,6/15/18,41.0,13.33,3.98,20.17,21.59,7,24.5,0.0,1,Dead
18,1,A,Acer saccharum,0.108,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,10.0,15.952,-0.1,12.61,11.75,7,24.5,0.0,1,Dead
19,1,A,Acer saccharum,0.108,Med,2017,Acer saccharum,1757,Non-Sterile,Conspecific,AMF,AMF,6/4/18,22.98,18.574,0.44,13.69,12.31,7,24.5,1.0,0,Dead
20,1,A,Acer saccharum,0.108,Med,2017,Sterile,561,Sterile,Sterilized,AMF,Sterile,5/17/18,8.55,21.196,0.08,10.61,11.57,7,24.5,1.0,0,Dead
21,1,A,Acer saccharum,0.108,Med,2016,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,12.86,23.818,0.04,13.95,12.5,7,24.5,1.0,0,Dead
22,1,A,Quercus rubra,0.108,Med,2017,Quercus rubra,970,Non-Sterile,Conspecific,EMF,EMF,5/24/18,20.45,26.44,3.89,24.19,16.19,33,115.5,0.0,0,Alive
23,1,C,Quercus alba,0.106,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,9.0,26.92,4.77,17.0,25.17,7,24.5,0.0,1,Dead
24,1,A,Quercus alba,0.108,Med,2016,Quercus alba,1320,Non-Sterile,Conspecific,EMF,EMF,5/23/18,10.68,26.72,5.04,21.43,18.21,21,73.5,1.0,0,Dead
25,1,A,Quercus alba,0.108,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,18.04,25.57,5.09,18.75,23.07,21,73.5,1.0,0,Dead
26,1,A,Quercus alba,0.108,Med,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,14.0,38.46,5.47,21.72,18.17,7,24.5,0.0,1,Dead
27,1,A,Acer saccharum,0.108,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.16,27.34,-0.05,13.3,12.16,17,59.5,1.0,0,Dead
28,1,A,Quercus alba,0.108,Med,2016,Quercus rubra,1688,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,5.0,16.22,3.77,25.48,12.91,7,24.5,0.0,1,Dead
29,1,D,Quercus rubra,0.107,Med,2016,Acer saccharum,961,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,19.0,57.14,3.69,24.77,14.86,7,24.5,0.0,1,Dead
30,1,A,Quercus alba,0.108,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,20.19,26.04,5.07,18.97,22.48,33,115.5,0.0,0,Alive
31,1,C,Quercus rubra,0.106,Med,2017,Quercus alba,1715,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,19.32,21.6,3.81,20.97,18.09,33,115.5,0.0,0,Alive
32,1,C,Quercus alba,0.106,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,12.15,21.66,4.7,17.55,24.42,33,115.5,0.0,0,Alive
33,1,C,Quercus alba,0.106,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,12.15,21.66,4.7,17.55,24.42,33,115.5,0.0,0,Alive
34,1,A,Quercus alba,0.108,Med,2017,Populus grandidentata,1201,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,18.0,0.0,3.56,25.81,10.7,7,24.5,0.0,1,Dead
35,1,A,Acer saccharum,0.108,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,AMF,AMF,6/4/18,16.6,2.223333333333333,-0.05,13.1,12.05,7,24.5,1.0,0,Dead
36,1,A,Acer saccharum,0.108,Med,2016,Sterile,1323,Sterile,Sterilized,AMF,Sterile,5/17/18,8.55,4.446666666666666,0.08,10.61,11.57,19,66.5,1.0,0,Dead
