,Unnamed: 0,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Sterile,Conspecific,Myco,SoilMyco,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Season,Alive
0,0,1,3,1,0.106,2,2017,1,0,2,1,1,22.0,,-0.56,13.86,12.15,4,14.0,1.0,0,2,0
1,1,1,3,2,0.106,2,2017,2,0,2,2,2,15.82,31.07,5.19,20.52,19.29,33,115.5,0.0,0,1,1
2,2,1,3,3,0.106,2,2017,1,0,2,2,1,24.45,28.19,3.36,24.74,15.01,18,63.0,1.0,0,1,0
3,3,7,4,1,0.08,2,2016,1,0,2,1,1,22.23,26.1425,-0.71,14.29,12.36,4,14.0,1.0,0,2,0
4,4,14,1,1,0.06,1,2017,1,0,2,1,1,21.15,24.095,-0.58,10.85,11.2,4,14.0,1.0,0,2,0
5,5,1,3,4,0.106,2,2016,3,0,2,1,1,35.29,22.0475,0.3,10.8,13.79,7,24.5,1.0,0,2,0
6,6,1,1,2,0.108,2,2016,4,0,2,2,2,24.0,20.0,5.11,18.82,22.51,7,24.5,0.0,1,1,0
7,7,1,1,3,0.108,2,2017,5,1,1,2,3,4.0,0.0,3.43,25.22,14.81,7,24.5,0.0,1,1,0
8,8,1,1,3,0.108,2,2016,6,0,2,2,1,28.74,36.18,3.83,26.65,14.65,33,115.5,0.0,0,1,1
9,9,1,1,1,0.108,2,2016,4,0,2,1,2,14.16,32.185,-0.05,13.3,12.16,7,24.5,1.0,0,2,0
10,10,1,3,3,0.106,2,2017,1,0,2,2,1,24.45,28.19,3.36,24.74,15.01,33,115.5,0.0,0,1,1
11,11,1,3,2,0.106,2,2017,6,0,2,2,1,19.68,21.58,5.1,18.16,22.56,21,73.5,1.0,0,1,0
12,12,1,3,2,0.106,2,2016,7,0,3,2,2,11.14,32.75,5.05,21.93,17.75,21,73.5,1.0,0,1,0
13,13,1,1,2,0.108,2,2017,3,0,2,2,1,11.45,21.84,4.79,17.83,23.72,17,59.5,1.0,0,1,0
14,14,1,1,2,0.108,2,2016,5,1,1,2,3,24.0,9.09,3.68,19.77,19.81,7,24.5,0.0,1,1,0
15,15,1,1,2,0.108,2,2017,2,0,2,2,2,17.54,32.82,5.29,20.84,18.65,33,115.5,0.0,0,1,1
16,16,1,3,3,0.106,2,2017,5,1,1,2,3,3.0,0.0,3.5,20.44,18.99,7,24.5,0.0,1,1,0
17,17,1,3,3,0.106,2,2017,2,0,3,2,2,41.0,13.33,3.98,20.17,21.59,7,24.5,0.0,1,2,0
18,18,1,1,1,0.108,2,2016,4,0,2,1,2,10.0,15.952,-0.1,12.61,11.75,7,24.5,0.0,1,2,0
19,19,1,1,1,0.108,2,2017,6,0,3,1,1,22.98,18.574,0.44,13.69,12.31,7,24.5,1.0,0,2,0
20,20,1,1,1,0.108,2,2017,5,1,1,1,3,8.55,21.196,0.08,10.61,11.57,7,24.5,1.0,0,1,0
21,21,1,1,1,0.108,2,2016,7,0,2,1,2,12.86,23.818,0.04,13.95,12.5,7,24.5,1.0,0,2,0
22,22,1,1,3,0.108,2,2017,2,0,3,2,2,20.45,26.44,3.89,24.19,16.19,33,115.5,0.0,0,1,1
23,23,1,3,2,0.106,2,2017,3,0,2,2,1,9.0,26.92,4.77,17.0,25.17,7,24.5,0.0,1,1,0
24,24,1,1,2,0.108,2,2016,7,0,3,2,2,10.68,26.72,5.04,21.43,18.21,21,73.5,1.0,0,1,0
25,25,1,1,2,0.108,2,2016,6,0,2,2,1,18.04,25.57,5.09,18.75,23.07,21,73.5,1.0,0,1,0
